Title,Short Name,HSN Code,Barcode,Tax,MRP,Sale Price,Opening Stock,Purchase Price,Weight,Item Category,Company,Sub Category,Item Company Category,Minimum Quantity,Maximum Quantity,Reorder Quantity
PEN RS.5,PEN RS.5,96089990,PEN5,GST @12%,5.00,5.00,213.000,3.82,0.000,STATIONERY,REYNOLDS,,,,,
PEN RS.10,PEN RS.10,96089990,PEN10,GST @12%,10.00,10.00,184.000,7.68,0.000,STATIONERY,REYNOLDS,,,,,
RORITO ARGO SOFT GOLD PEN,RORITO ARGO SOFT GOL,0,8902532045684,GST @0%,50.00,50.00,0.000,35.84,0.000,STATIONERY,REYNOLDS,,,,,
REYNOLDS JETTER REVO PEN,REYNOLDS JETTER REVO,0,8902532091353,GST @5%,15.00,15.00,3.000,12.10,0.000,STATIONERY,REYNOLDS,,,,,
REYNOLDS TRIMAZ REFILL0.5ML,REYN. REFILL RS.20,0,BARCODE CHANGE,Tax 5%,20.00,20.00,0.000,15.71,0.000,STATIONERY,REYNOLDS,,,,,
EVEREADY ULTIMA AA 2PEC ALKALINE,EVEREADY ULTIMA AA 2,0,8901691008325,GST @28%,65.00,65.00,0.000,40.00,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
EVEREADY ULTIMA ALKALINE 2112 AAA,EVER.ULTIMA ALK AAAA,0,8901691012001,GST @28%,35.00,35.00,9.000,25.53,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL LASTS LONGER MUCH LONGER AAA ,DURACELL LASTS LONGE,8506,5000394116627,GST @18%,38.00,38.00,82.000,25.77,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
MOTHER DAIRY CHILLZ KESAR ELAICHI FLAVOURED MILK 180ML,M.D.KESAR ELAICHI MI,2202903,8901648092513,GST @12%,25.00,25.00,0.000,18.30,0.000,DRINKS AND BEVERAGES,MOTHER DAIRY,MILK BEVERAGES,,,,
EVEREADY CELL 1015AA,EVEREADY CELL 1015AA,85061000,8901691003450,GST @18%,12.50,12.50,75.000,8.12,0.000,ELECTRONIC ITEMS,EVEREADY,BATTERIES,,,,
DURACELL D 1.5V 2N,DURACELL D 1.5V 2N,0,5000394095397,GST @28%,330.00,330.00,0.000,238.61,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
DURACELL C 1.5V 2N,DURACELL C 1.5V 2N,85061000,5000394119017,GST @18%,250.00,250.00,3.000,169.49,0.000,ELECTRONIC ITEMS,DURACELL,BATTERIES,,,,
FABER CASTELL 15 CONNECTOR PENS CONNECTOR FILZSTIFTE,F.C 15CONNECTOR PENS,9608,8901180530160,GST @12%,80.00,80.00,0.000,57.00,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 10 CONNECTOR PENS CONNECTOR FILZSTIFTE,F.C 10CO SKETCH PENS,9608,8901180530108,GST @12%,50.00,50.00,0.000,35.63,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 10 OLE GOLD SUPER DARK PENCILS,F.C 10 O.GR T.PENCIL,9609,8901180100011,GST @12%,50.00,50.00,0.000,27.94,0.000,STATIONERY,FABER CASTELL,,,,,
NAVNEET MY LONG BOOK 172PAGES,NAV.LONG BOOK ,48201010,8902442208032,Tax 5%,40.00,40.00,0.000,28.00,0.000,STATIONERY,NAVNEET,,,,,
FABER CASTELL 24 COLOUR PENCILS TRIANGULAR SHAPE,FABER CASTELL 24 COL,9609,8901180118023,GST @12%,200.00,200.00,0.000,142.50,0.000,STATIONERY,FABER CASTELL,,,,,
FABER CASTELL 12 COLOUR PENCILS TRIANGULAR SHAPE,FABER CASTELL 12 COL,9609,8901180118016,GST @12%,105.00,105.00,0.000,74.81,0.000,STATIONERY,FABER CASTELL,,,,,
NATARAJ SHARPENER RS.3,NATRJ SHARPENER RS3,0,00089,Tax 5%,3.00,3.00,3.000,2.28,0.000,STATIONERY,NATARAJ,,,,,
AMUL MASTI SPICED BUTTERMILK 1LTR,AMUL M.S.B.MILK 1LTR,403,8901262200233,GST @0%,55.00,55.00,0.000,50.60,0.000,DRINKS AND BEVERAGES,AMUL,MILK BEVERAGES,,,,
KHARBUJA,KHARBUJA,0,0011,GST @0%,55.00,55.00,5.210,36.00,0.000,FRUITS & VEGETABLES,,,,,,
FABER CASTELL 6 POSTER COLURS TIN BOX,F.C 6 POSTER COLOURS,3213,8901180410066,GST @18%,90.00,90.00,0.000,64.13,0.000,STATIONERY,FABER CASTELL,,,,,
NAVNEET FUN WAX CRAYONS 16 SHADES 1 GLITTER,NAV FN WX CR 16S 1GL,0,00124,Tax 5%,28.00,28.00,0.000,19.60,0.000,STATIONERY,NAVNEET,,,,,
FEVI STIK STICK 5GM,FEVI STIK STICK 5GM,35061000,8901860633501,GST @18%,15.00,15.00,28.000,9.94,0.000,STATIONERY,PIDILITE,,,,,
FEVI KWIK 3GM,FEVI KWIK 3GM,0,8901860010036,GST @12%,25.00,25.00,0.000,19.33,0.000,STATIONERY,PIDILITE,,,,,
NAVNEET MY 5 SUBJECT NOTEBOOK,NVNET NOTEBOOK 180,0,00132,Tax 5%,180.00,180.00,0.000,126.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET NOTE HOLI SPECIAL SERISE 172PAGES,NAVNEET NOTE HOLI SP,4820,8902442227842,GST @12%,45.00,45.00,0.000,28.12,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET BLACK WOOD PENCILS,NAVNEET BLACK WOOD P,96092000,8902442206908,GST @12%,130.00,130.00,3.000,81.25,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SOFT BOUND A4 SIZE 196PAGES,NAVNEET SOFT BOUND A,4820,8902442203556,GST @12%,72.00,72.00,0.000,54.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET PLUS NOTE BOOK 144PAGES,NAVNEET PLUS NOTE BO,0,8904141505795,Tax 5%,27.00,27.00,0.000,20.25,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET CASE BOUND 192PAGES,NAVNEET CASE BOUND 1,4820,8902442229716,GST @12%,120.00,120.00,0.000,75.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY CRAFT PAPER 50 SHEETS,NAVNET CRAFT RS.38,0,8902442211155,Tax 5%,50.00,50.00,0.000,33.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SCHOOL NOTE BOOK 172PAGES,NAVNEET SCHOOL NOTE,0,8904141511154,Tax 5%,38.00,38.00,0.000,28.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY NOTES  A6 160PAGES,NAV MY NOTES A6 160P,48201010,8902442219694,GST @12%,45.00,45.00,15.000,28.12,0.000,STATIONERY,NAVNEET,,,,,
NAVNET MY 6 SUBJECT NOTEBOOK 300 PAGES,NAV NOBO 6 SUB 300P,0,00142,Tax 5%,110.00,110.00,0.000,82.50,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET SOFT BOUND A4 SIZE 172PAGES,NAVNEET SOFT BOUND A,0,8902442226760,Tax 5%,55.00,55.00,0.000,39.28,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET MY SCRAP BOOK 32 PAGES,NAVNEET MY SCRAPBOOK,48201010,8902442211094,Tax 5%,40.00,40.00,9.000,21.00,0.000,STATIONERY,NAVNEET,,,,,
NAVNEET THE ORIGINAL LONG BOOK 576PAGES,NAVNEET THE ORIGINAL,4820,8902442229914,GST @12%,290.00,290.00,0.000,181.25,0.000,STATIONERY,NAVNEET,,,,,
AXE DEO SIGNATURE BODY PERFUME CHAMPION 122ML,AXE DEO CHAMPION,33072000,8901030693250,GST @18%,190.00,190.00,0.000,120.41,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO OCEAN BREEZE AQUA 150ML,AXE DEO OCAQUA 150ML,33072000,8901030640698,GST @18%,190.00,190.00,0.000,126.43,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MARINE SPLASH AQUA 150ML,AXE DEO MARINE SPLAS,33072000,8901030640704,GST @18%,199.00,199.00,0.000,132.42,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO MUSICSTAR 150ML,AXE DEO MUSICSTR150M,0,8901030440014,GST @12%,180.00,180.00,0.000,139.13,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
AXE DEO DARK TEMPTATION 150ML,AXE DEO TEMPT 150ML,3307,8901030557675,GST @18%,190.00,190.00,0.000,126.43,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
WILD STONE BODY DEODORANT HYDRA ENERGY 150ML,WI.ST.HYDRA ENERGY ,3307,8904006302743,GST @18%,180.00,180.00,0.000,114.41,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
NIVEA DEO ENERGY FRESH 150ML,NIVEA DEO ENERGY FRE,33072000,4005900017901,GST @28%,199.00,199.00,1.000,141.34,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO WHITENING SENSITIVE 150ML,NIVEA DE.SEN.,33072000,8904256001670,GST @18%,199.00,199.00,1.000,122.65,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO FRESH ACTIVE 75ML,NIVEA DEO FRE ACTIV,0,4005808726240,GST @12%,225.00,225.00,0.000,181.82,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO PEARL & BEAUTY GENTLE CARE ROLL ON 50ML,NIV DEO ROLL PER BEA,33072000,4005900294517,GST @18%,185.00,185.00,0.000,113.63,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA MEN DEO COOL KICK ROLL ON 50ML,NIV MEN D COOL K ROL,33072000,4005900294487,GST @18%,165.00,165.00,3.000,101.35,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
NIVEA DEO MEN SILVER PROTECT ANTIBACTERIAL150ML,NIV DEO SILVER PROTE,33072000,8904256001700,GST @18%,199.00,199.00,1.000,122.65,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
GALA LAXMI PHOOL JHROO,GALA LAXMI PHOOL JHR,96031000,8901663102723,GST @0%,150.00,150.00,0.000,120.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,GALA,HOUSEHOLD ACCESSORIES,,,,
WILD STONE DEO NIGHT RIDER 150ML,WI.ST.NIGHT RIDER ,3307,8904006303405,GST @18%,180.00,180.00,0.000,114.41,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
AXE DEO SIGNATURE BODY PERFUME MYSTERIOUS 125ML,AXE DEO SIGNA MYSTIC,33072000,8901030547492,GST @18%,190.00,190.00,0.000,120.41,0.000,PERSONAL CARE,AXE,DEOS AND PERFUMES,,,,
WILD STONE DEO JUICE 150ML,WILD STONE JUICE DEO,0,8904006304617,GST @12%,195.00,195.00,0.000,131.56,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
NIVEA MEN DEO FRESH ACTIVE ROLL ON 50ML,NIV MEN D FRSH AC RO,33072000,4005900294456,GST @18%,165.00,165.00,0.000,106.43,0.000,PERSONAL CARE,NIVEA,DEOS AND PERFUMES,,,,
D-SPARKLE DISINFECTANT TOILET CLENER 2X500ML,D-SPARKLE DISINFECTA,0,9976100590165,Tax 5%,100.00,100.00,0.000,76.27,0.000,HOUSEHOLD;KITCHEN;BATHROOM,,BATHROOM ACCESSORIES,,,,
KNORR SOUP SWEET & SOUR NOODLE 50GM,KNORR SOUP SWEET & S,0,8901030516603,GST @12%,50.00,50.00,0.000,40.77,0.000,DRINKS AND BEVERAGES,KNORR,SOUPS,,,,
NIVEA FACE WASH PURIFYING MIXED TO OILY SKIN 55ML,NIVEA FACEWASH PURIF,34013090,8904256000239,GST @18%,85.00,85.00,2.000,59.92,0.000,PERSONAL CARE,NIVEA,SKIN CARE,,,,
MOTHER DAIRY ICE CREAM ORANGE FRUITOLIC 60ML,M.D.ORANGE 60 ML,2105,8901648024453,GST @18%,10.00,10.00,0.000,7.20,0.000,FROZEN FOODS;ICE-CREAM,MOTHER DAIRY,ICE CREAM,,,,
PLAYBOY DEO PLAY IT SPICY 150ML,PLAYBOY DEO 150ML,0,3607340618963,GST @12%,199.00,199.00,0.000,122.67,0.000,PERSONAL CARE,PLAYBOY,DEOS AND PERFUMES,,,,
ONKAA MANJEETS BLACK SALT 200GM,ONKAA MANJEETS BLACK,2501,00186,GST @0%,10.00,10.00,0.000,7.00,0.000,GROCERY;DALS,,,,,,
ORGANIC NATION SWEET LIME PICKLE 400GM,ORG.NA.SWEET LIME PI,98051000,A8906047700274A,GST @12%,150.00,150.00,0.000,100.45,0.000,SAUCES;JAMS;PICKLES,ORGANIC NATION,PICKLES,,,,
FUN FOODS VEG MAYONNAISE EGGLESS 875GM,FUN FOODS MAYONNAISE,21039,8906002004461,GST @12%,159.00,159.00,1.000,118.30,0.000,SAUCES;JAMS;PICKLES,FUN FOODS,MAYONNAISE AND SANDWICH SPREAD,,,,
SURE ROLL ON WOMEN FREE SPIRIT 40ML,SURE ROLON  SPIRIT W,33079000,4800888151506,GST @18%,100.00,100.00,0.000,73.69,0.000,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN PASSION 40ML,SURE ROLON PASSION W,33079000,4800888151490,GST @28%,90.00,90.00,0.000,61.14,0.000,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN PASSION 25ML,SURE ROLON PASSION W,33072000,4800888151650,GST @18%,65.00,65.00,0.000,47.90,0.000,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
SURE ROLL ON WOMEN FREE SPIRIT 25ML,SURE ROLON SPIRIT W,33072000,4800888151667,GST @28%,65.00,65.00,0.000,44.16,0.000,PERSONAL CARE,SURE,DEOS AND PERFUMES,,,,
HIMALAYA NOURISHING SKIN CREAM 50ML,HIM.NOUR.SKIN CREAM,33049910,8901138506377,GST @18%,75.00,70.00,2.000,52.04,0.000,PERSONAL CARE,HIMALAYA,SKIN CARE,,,,
WILD STONE DEO DRIFT 120ML,WILD STONE DEO DRIFT,0,8904006305966,GST @12%,199.00,199.00,0.000,131.56,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
PASEO ELEGANT HYGIENIC SOFT AND NATURAL NAPKIN 30X30 50SHEETS,PASEO ELEGANT HYGIEN,48189000,8907250321010,GST @18%,70.00,65.00,3.000,40.08,0.000,HOUSEHOLD;KITCHEN;BATHROOM,PASEO,HOUSEHOLD ACCESSORIES,,,,
COLGATE TOOTH BRUSH KIDS 2 GENTLE  SOFT,COL.T/B GENTLE SOFT,0,8901314116031,GST @12%,20.00,20.00,0.000,13.17,0.000,PERSONAL CARE,COLGATE,ORAL CARE,,,,
PARK AVENUE DEO GOOD MORNING 150ML,PARK AVENUE DEO150ML,33073090,8901277007087,GST @18%,199.00,199.00,0.000,151.93,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
PARK AVENUE DEO ALPHA 150ML,P.A  DEO ALPHA150ML,0,8901277011763,GST @12%,190.00,190.00,0.000,150.80,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 20MM,HARRISON CI PAD LOCK,83011000,00202,GST @12%,63.00,63.00,0.000,63.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO TRANQUIL 150ML,P.A  DEO TRANQUIL ,33073090,8901277008404,GST @18%,199.00,199.00,0.000,151.93,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 40MM,HARRISON CI PAD LOCK,83011000,00204,GST @12%,95.00,95.00,0.000,95.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO VOYAGE 150ML,PK AVE DEO VOYAGE,33073090,8901277010186,GST @18%,240.00,240.00,0.000,183.23,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
PARK AVENUE DEO ALTER EGO 150ML,P.A DEO ALTER EGO,33073090,8901277010162,GST @18%,240.00,240.00,0.000,183.23,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON CI PAD LOCK 30MM,HARRISON CI PAD LOCK,83011000,00207,GST @12%,75.00,75.00,0.000,75.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
PARK AVENUE DEO IMAGINE 150ML,PARK AVENUE DEO IMAG,0,8901277013019,GST @12%,195.00,195.00,0.000,154.76,0.000,PERSONAL CARE,PARK AVENUE,DEOS AND PERFUMES,,,,
HARRISON T-26 60MM,HARRISON T-26 60MM,83011000,8901273002772,GST @12%,194.00,194.00,0.000,194.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
HARRISON T-26 50MM,HARRISON T-26 50MM,83011000,8901273002741,GST @12%,121.00,121.00,0.000,121.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
HARRISON T-26 55MM,HARRISON T-26 55MM,83011000,8901273002765,GST @12%,137.00,137.00,0.000,137.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,HARRISON,HOUSEHOLD ACCESSORIES,,,,
SUNDROP PEANUT BUTTER CREAMY,SUNDROP PEANUT BUTTE,0,8901512143402,GST @12%,15.00,15.00,0.000,10.00,0.000,BREAKFAST CEREALS,SUNDROP,,,,,
BOX RS.80,BOX RS.80,0,00214,GST @12%,80.00,80.00,0.000,0.00,0.000,HOUSEHOLD;KITCHEN;BATHROOM,,HOUSEHOLD ACCESSORIES,,,,
GATSBY STYLING WAX POWER & SPIKES 75GM,GATSBY WAX PWR SPIKE,3305,4902806015843,GST @18%,180.00,180.00,0.000,116.95,0.000,PERSONAL CARE,GATSBY,DEOS AND PERFUMES,,,,
OLD SPICE DEO MUSK 150ML,OLD SPICE DEO MUSK,33071090,4902430667333,GST @18%,199.00,199.00,2.000,139.37,0.000,PERSONAL CARE,OLD SPICE,DEOS AND PERFUMES,,,,
OLD SPICE DEO WHITEWATER150ML,O.S. DEO W.WATR150ML,33071090,4902430667357,GST @18%,199.00,199.00,1.000,139.37,0.000,PERSONAL CARE,OLD SPICE,DEOS AND PERFUMES,,,,
SANWAK RICE 500GM,SANWAK RICE 500GM,0,00221,GST @5%,85.00,85.00,0.000,62.50,0.000,GROCERY;DALS,,RICE AND RICE PRODUCTS,,,,
RITA TILE BRUSH,RITA TILE BRUSH,3924,00222,GST @18%,40.00,40.00,6.000,27.54,0.000,HOUSEHOLD;KITCHEN;BATHROOM,,HOUSEHOLD ACCESSORIES,,,,
DESI CUCUMBER,DESI CUCUMBER,0,00223,GST @0%,43.00,43.00,0.000,28.00,0.000,PERSONAL CARE,POLO,DEOS AND PERFUMES,,,,
GARNIER FRUCTIS SHAMPOO LONG & STRONG 640ML,GAR. FR.SH.L&S 640ML,0,8901526205967,GST @12%,400.00,400.00,0.000,317.46,0.000,PERSONAL CARE,GARNIER,HAIR CARE,,,,
CHANNA BURFI 500GM,CHANNA BURFI 500GM,0,00230,GST @5%,115.00,115.00,0.000,90.00,0.000,CHOCOLATES;SWEETS AND CANDIES,,INDIAN SWEETS,,,,
BHUSHA PLAIN BURFI 500GM,BHUSHA PLAIN BURFI 5,0,00231,GST @5%,125.00,125.00,0.000,100.00,0.000,CHOCOLATES;SWEETS AND CANDIES,,INDIAN SWEETS,,,,
BADAM BURFI 500GM,BADAM BURFI 500GM,0,00233,GST @5%,225.00,225.00,0.000,180.00,0.000,CHOCOLATES;SWEETS AND CANDIES,,INDIAN SWEETS,,,,
BADAM BUGGA BURFI 500GM,BADAM  BURFI 500GM,0,00237,GST @5%,175.00,175.00,0.000,140.00,0.000,CHOCOLATES;SWEETS AND CANDIES,,INDIAN SWEETS,,,,
ODONIL NATURE AIR FRESHNER JASMINE MIST HANGER50GM,ODON JAS MIST HANGER,33074900,8901207502934,GST @18%,43.00,43.00,3.000,33.12,0.000,PERSONAL CARE,ODONIL,DEOS AND PERFUMES,,,,
WILD STONE DEO AQUA FRESH 100ML,W.S.DEO AQUA FRESH,3007,8904006305294,GST @18%,180.00,180.00,0.000,114.41,0.000,PERSONAL CARE,WILD STONE,DEOS AND PERFUMES,,,,
COLGATE TOOTH PASTE ACTIVE SALT HEALTHY WHITE 200GM,C.ACT SALT H.W 200GM,33061020,8901314009173,GST @18%,97.00,97.00,2.000,74.05,0.000,PERSONAL CARE,COLGATE,ORAL CARE,,,,
MEDIMIX SOAP TURMERIC & ARGAN OIL 5X125GM,MEDIMIX SOAP TURMERI,34011990,8904018300034,GST @18%,220.00,220.00,1.000,169.49,0.000,PERSONAL CARE,MEDIMIX,SKIN CARE,,,,
PREMIUM EAU DE COLONGE COMBO 200GM,PREMIUM COLONGE200ML,0,00257,GST @12%,160.00,160.00,1.000,129.29,0.000,PERSONAL CARE,PREMIUM,DEOS AND PERFUMES,,,,
LAKME SUN EXPERT SPF 30 ULTRA MATTE LOTION LIGHT & NON STICKY 50ML,LAKME SUN EXPERT SPF,3304,8901030691331,GST @18%,204.00,204.00,2.000,151.65,0.000,PERSONAL CARE,LAKME,SKIN CARE,,,,
PARK AVENUE SHAVING BRUSH SILVER,P V. SHAVING BRUSH,96032900,8901277009395,GST @18%,80.00,80.00,3.000,61.08,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE AFTER SHAVE LOTION GOOD MORNING 50ML,P.A. AF.SHV LOTN G.M,33071090,8901277005113,GST @18%,125.00,125.00,0.000,95.43,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE AFTER SHAVE LOTION ACE 50ML,P V. AF.SHAVE LOTION,33071090,8901277010728,GST @18%,115.00,115.00,1.000,87.80,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
OLD SPICE AFTER SHAVE LOTION MUSK 150ML,O S.AF.S.LOTION MUSK,33071090,4902430667616,GST @18%,215.00,215.00,2.000,162.68,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
PARK AVENUE SHAVING CREAM CLASSIC 30GM,P V. SH CREAM CLASSI,0,8901277012418,GST @12%,30.00,30.00,0.000,24.24,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
PARK AVENUE LATHER SHAVING CREAM GOOD MORNING 70GM,P V. SHAV CRM GOODMR,33071010,8901277012449,GST @18%,65.00,65.00,4.000,49.63,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
GODREJ SHAVING CREAM LEMON FRESH 100GM,GODREJ SH.CR. L.FRS ,3307,8901023005749,GST @18%,50.00,50.00,0.000,38.52,0.000,PERSONAL CARE,GODREJ,DEOS AND PERFUMES,,,,
PARK AVENUE AFTER SHAVE LOTION GOOD MORNING WITH SPRAY 100ML,PRK AV A/S/L GUD MOR,33071090,8901277012074,GST @28%,135.00,135.00,1.000,95.88,0.000,PERSONAL CARE,PARK AVENUE,SHAVING NEEDS,,,,
YARDLEY AFTER SHAVE LOTION ELEGANCE WITH ALOE VERA 50ML,YAR. AF.SV ELL ALOEV,33072000,8903105020107,GST @28%,120.00,120.00,0.000,96.12,0.000,PERSONAL CARE,YARDLEY,SHAVING NEEDS,,,,
WILD STONE AFTER SHAVE LOTION ULTRA SENSUAL 100ML,G B.A.SH.L.ULTRA SEN,0,8904006302316,GST @12%,175.00,175.00,0.000,127.11,0.000,PERSONAL CARE,GATSBY,SKIN CARE,,,,
AXE AFTERSHAVE LOTION DARK TEMPTATION 100ML,AXE A.SH. LOTION D.T,33071090,8901030467844,GST @12%,200.00,200.00,0.000,161.62,0.000,PERSONAL CARE,AXE,SHAVING NEEDS,,,,
DETTOL LATHER SHAVING CREAM FRESH 90GM,DETTOL SH.CRM FRESH,33071090,8901396332114,GST @18%,75.00,75.00,1.000,57.78,0.000,PERSONAL CARE,DETTOL,SHAVING NEEDS,,,,
DETTOL LATHER SHAVING CREAM COOL 90GM,DETTOL SH.CREAM COOL,3307,8901396332213,GST @18%,68.00,68.00,1.000,52.39,0.000,PERSONAL CARE,DETTOL,SHAVING NEEDS,,,,
PARLE MILANO MINIS CHOCOLATE CHIP COOKIES 100GM,P.MILANO MINIS CHO.C,19059020,8901719101908,GST @18%,50.00,50.00,0.000,37.83,0.000,BISCUITS,PARLE,COOKIES,,,,
OLD SPICE SHAVE FOAM ORIGINAL 250GM,O.P. SHAVE FOAM ORIG,0,4902430466851,GST @12%,195.00,195.00,0.000,151.78,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE SHAVE FOAM FRESH LIME 250GM,OLD SPI.SH.FO.FRESHL,0,4902430466837,GST @12%,195.00,195.00,0.000,154.76,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM FRESH LIME 70GM,O.S SH.CRM FRESHLIME,33071010,4902430649636,GST @18%,65.00,65.00,1.000,49.10,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM ORIGINAL 70GM,O.S. SHAV.CREAM ORI.,33071010,4902430649650,GST @18%,65.00,65.00,2.000,49.16,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
OLD SPICE LATHER SHAVING CREAM MUSK 70GM,O.S SHAV.CREAM MUSK,3307,4902430649568,GST @18%,65.00,65.00,3.000,49.15,0.000,PERSONAL CARE,OLD SPICE,SHAVING NEEDS,,,,
PARLE MILANO DELICIOUSLY RICH CHOCOLATE CHIP COOKIES 150GM,P.MILANO DELI.RICH C,0,8901719101755,GST @12%,60.00,60.00,0.000,47.61,0.000,BISCUITS,PARLE,COOKIES,,,,
GILLETTE SHAVING FOAM SENSITIVE 245GM,GILL. SHNG FOAM SENT,34013012,4902430673181,GST @18%,285.00,285.00,0.000,215.60,0.000,PERSONAL CARE,GILLETTE,SHAVING NEEDS,,,,
GILLETTE BODY SPRAY SPORT PROTECT 150ML,GILL. DEO SPORT PRO ,0,7702018269754,GST @12%,199.00,199.00,0.000,157.94,0.000,PERSONAL CARE,GILLETTE,DEOS AND PERFUMES,,,,
GILLETTE SHAVING GEL REGULAR 60GM,GILL.SH.GEL REGULAR,0,4902430590792,GST @12%,59.00,59.00,0.000,46.83,0.000,PERSONAL CARE,GILLETTE,SHAVING NEEDS,,,,
YARDLEY LATHER SHAVING CREAM GOLD 70GM,YRD. SHV.CREAM GOLD,33071010,8903105020268,GST @18%,60.00,60.00,0.000,45.81,0.000,PERSONAL CARE,YARDLEY,SHAVING NEEDS,,,,
LIA PRIME ROSE AGARBATHIES 75GM,LIA PRIME ROSE AGARB,33074100,8901751002157,GST @5%,30.00,30.00,0.000,23.81,0.000,POOJA ITEMS,LIA,,,,,
LIA PRIME ROSE AGARBATHIES 280GM,LIA PRIME ROSE AGR,0,8901751004854,GST @0%,100.00,100.00,0.000,83.34,0.000,POOJA ITEMS,LIA,,,,,
LIA CHANDANAM DIVINE & SOOTHING 35GM,LIA CHANDANAM DIVINE,33074100,8901751000245,GST @5%,15.00,15.00,0.000,11.91,0.000,POOJA ITEMS,LIA,,,,,
LIA SAMTRUPTI AGARBATHIES 75GM,LIA SAMTRUPTI AGARBA,33074100,8901751002102,GST @5%,30.00,30.00,0.000,23.81,0.000,POOJA ITEMS,LIA,,,,,
